title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
python开发实习生,南京,python,本科,经验不限,"[""Python"", ""计算机相关专业""]","[5000, 9000]",13薪,"""带薪年假，节假日加班费，年终奖""",总经理,毕纪军总经理,0,紫藤优格,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/afcacdb93c96fa121XB409i4E1JW.html?lid=9t4Jv9Uxl0z.search.1&securityId=3gL8wjMjFTaz9-81k8XpGzjfHDUYVkeaXNPVK-zi1ifybB19XQD7jRoGcDrXcBlZhrZvijAFCb22JnrgEV2DDd6agMdUQVKtu5HBuTlr2ftJ8wsqPgALrIa6T4iP08snXJXaDui6iX-Wug~~&sessionId=,https://www.zhipin.com/gongsi/b48764614188cdf51XZ_3dS8FlA~.html,建邺区
Python,银川,python,本科,经验不限,"[""Java"", ""后端"", ""数据结构"", ""SQL"", ""爬虫"", ""爬虫经验"", ""Shell""]","[5000, 6000]",0薪,无,HR人事,李先生HR人事,0,云间来客网络科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/16dbfaf978cc91b11Xd509m_GVVT.html?lid=9t4Jv9Uxl0z.search.2&securityId=xGJqa8KSl9UjK-U1sxJmv8VvOhntKcFDKNis9_4ylGhMsA7jHeH1XrmidpG11LGt9Bh2AuD2SKkgiodoo15FaB0LbeT-xdjsk0CkrD0hZjEkEX8_Wgy8232AvaeYS_UT4wlUGcOYinKuig~~&sessionId=,https://www.zhipin.com/gongsi/0c988f7e4cb8fa3d1XV93tq5EVs~.html,金凤区
Python 初级工程师,泉州,python,本科,经验不限,"[""爬虫"", ""Python""]","[5000, 7000]",13薪,"""包吃，宿舍有空调，包住，全勤奖，工龄奖""",招聘,丁先生招聘,0,中国名志体育用品,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220827/7bf6f160950405e9b57a02f4585821f25dbedeebe57a4a471f50f9e162cba15a7a65b9133babe363.jpg?x-oss-process=image/resize,w_100,limit_0",服装/纺织/皮革,不需要融资,"[1000, 9999]",https://www.zhipin.com/job_detail/6fb58cb7fa20028b1Xx73Nm9EVVZ.html?lid=9t4Jv9Uxl0z.search.3&securityId=Qh0QXLqUEB1zZ-l1Pu4dNskb7_N0nJwkOSI75jNouGEy77asum5Lfkt65v4IXJzS1I4ZxB3l801OX3XknNgBQymL6apoUkL3fkY6Cppmr0uabmoElifNZaOHqXpd_iNQq4LhdW7ZTKq3&sessionId=,https://www.zhipin.com/gongsi/5f22fe2d2b7ab1ea1XV83Ny8F1c~.html,晋江市
Python,巴音郭楞蒙古自治州,python,本科,经验不限,"[""网络编程"", ""Python""]","[3000, 8000]",0薪,"""补充医疗保险，定期体检""",,,0,智林教育科技有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",培训机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/cf3619ca12b285e31XR_39-_F1JZ.html?lid=9t4Jv9Uxl0z.search.4&securityId=rJ5LxDbyW8sQW-51dpiGxsuLGhSg3wXu4VUrtwOQHSeH4Mw28yWI1CN0_emzQDTkkAvcF49KdryQ7tHQ52qDCSRE8ccP0Dx4BlOIAUOb-9eHlEAhLFuHpjxFUS_9w0ErOUgyo5AAomK4eQ~~&sessionId=,https://www.zhipin.com/gongsi/46e68a3656db94a41nVy2Nm1EVI~.html,库尔勒市
Python 兼职,哈尔滨,python,本科,经验不限,"[""后端"", ""爬虫"", ""机器学习/算法工程"", ""Python"", ""Java"", ""Django""]","[5000, 10000]",0薪,"""年终奖，零食下午茶，五险一金，全勤奖，加班补助，股票期权""",校长,于先生校长,0,海默教育科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210218/c0c33ce4fc70fc2ee6db54ecb22465ac3bda9e29e40e0bdaedb23bbc2268c0bb_s.jpg?x-oss-process=image/resize,w_100,limit_0",培训机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/a43b3fe550d1fbdd1XN-3tq5GVZY.html?lid=9t4Jv9Uxl0z.search.5&securityId=v4sWbS7aEy0gV-q144lDwLhjiZk1zhHHaajco5xMlvoc67otNeT8GyyK5y5o1oK4ghEr0Fsx5_IvoeQo3ylKY9zs8KGsl2ENjQu9SJUmYWdzuwE45APG4-sMCUBKBxFSoHhnDyFTYREh&sessionId=,https://www.zhipin.com/gongsi/b65b8a9f32461dca1nd709m5E1I~.html,南岗区
Python 工程师,银川,python,本科,1-3年,"[""数据开发"", ""机器学习/算法工程"", ""Python"", ""C/C++""]","[4000, 6000]",0薪,"""五险一金，加班补助，员工旅游，节日福利，零食下午茶，带薪年假，交通补助，股票期权""",市场主管,陈言莘市场主管,0,智途教育,"https://img.bosszhipin.com/beijin/upload/com/logo/20210321/ca7860e4aca4485dacd586bf88f84e4b415d9759e3fd91e38bf715f8ab54b78b.png?x-oss-process=image/resize,w_100,limit_0",培训机构,未融资,"[20, 99]",https://www.zhipin.com/job_detail/63d50642bf946d5d1XJy3dm-GVNZ.html?lid=9t4Jv9Uxl0z.search.6&securityId=222G-0clUXdqr-012e_AzJbkeKPd_EVHzbATjQxgdsyR4hP2dJoufRhvYvYNhz2mKu0woEBn_c2MzIRe0d26PsJ24qi_IJruPRntgwoiIkIe43pI6I59bnp85AaBnHHDpW0jGrY_qrQlicHEJrdw0dpk4xwy6tU4TwoWzUwClyJDp6LV&sessionId=,https://www.zhipin.com/gongsi/d75a1d5b32f444221nZ62Nu_FVM~.html,兴庆区
Python文本处理实习生（可转正）,南京,python,本科,在校/应届,"[""数据开发"", ""Python"", ""计算机相关专业"", ""数学/统计相关专业""]","[8000, 10000]",13薪,无,HR,王先生HR,0,购物党,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20181104/edff2d49ce272a316c7756346449c85bcfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/c6b792c8f048e9361XN-39-8E1ZT.html?lid=9t4Jv9Uxl0z.search.7&securityId=oQLvJNRITcd5q-b1uVT24nCrzlMjvmeFN_asxeXJlHksyh1zGYqCyDb5l2a0PLpWN9GkpEmJ1aNeORKUcIaFQyZyioY8EEvqDgANxsWxe38kHTC2uTx1gC52Z0VssYNJEEaPXu83hPc~&sessionId=,https://www.zhipin.com/gongsi/67ccce73d3a2f2fe1nJ73dS1Ew~~.html,
Python,淄博,python,大专,经验不限,"[""小程序"", ""Python"", ""Java"", ""JavaScript"", ""CSS"", ""Web端"", ""移动端""]","[10000, 11000]",0薪,无,经理,刘先生经理,0,微云网络,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",生活服务,未融资,"[0, 20]",https://www.zhipin.com/job_detail/3c95342543e4f8703nB42dm0FFo~.html?lid=9t4Jv9Uxl0z.search.8&securityId=Be8yUnjW1ahL--F1YQq4pVASdO9lOFhALITlcRSj72FT5JuhbR23jtSi-nTr6oM9mo7QciNLQjpb2E5nrHEukPYABWZBFCC4AOaJBxIO6V5VC-rt5dDDgot9GYc6X_X4SZewO7cU1cg~&sessionId=,https://www.zhipin.com/gongsi/c20fbdd3c50fb42e3nR93dq0FA~~.html,张店区
Python 教师,衡水,python,大专,经验不限,"[""Python"", ""C/C++"", ""计算机相关专业"", ""机器学习工程经验""]","[4000, 8000]",0薪,无,招聘者,刘女士招聘者,0,衡水泺喜机器人,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",培训机构,未融资,"[0, 20]",https://www.zhipin.com/job_detail/387a322de557d8751Xx63NS1GFJQ.html?lid=9t4Jv9Uxl0z.search.9&securityId=Cap9fMbEJ23aR-01ysEDh3gDsIMVzboNN1OCI3kOToeFInECpGxk-mauY-G7i8IatLTIwICziayN7UkllX9fKpXqYNKpB9exJvu2aeBhLB8J-YhmGsOTZi7Snce8uiq3WO8VFoL2KWxevA~~&sessionId=,https://www.zhipin.com/gongsi/36b43e21a282966f1XZ92ti6EVs~.html,桃城区
Python,南京,python,大专,经验不限,"[""Python"", ""人工智能"", ""机器人"", ""智能驾驶""]","[7000, 8000]",13薪,"""包吃，加班补助，五险一金，节日福利，全勤奖，通讯补贴，带薪年假，年终奖，股票期权，交通补助，员工旅游""",总经理,徐飞总经理,0,福尔摩斯智能科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160912/b3227de04e7870c169e1f4b27d2174f7602d51d55240f7f1b3fa146ff8787dc9.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/1d06cf1acd20bf010XF-0t-1E1c~.html?lid=9t4Jv9Uxl0z.search.10&securityId=Emq5kB0ySlPmk-412dv0Pa2oZ6qRhT1mwJPXZCWQAstWrLDjJJvQMEUh74H0Vg7uC8wdmB7oOdklrm9x8T3nH00AIbrhzo9z9RoIIP3hbYEtYYh8VAuTOmZfzclpGl_FfR4F1IxX&sessionId=,https://www.zhipin.com/gongsi/3b5e886ba60d6c671HJy2tq0.html,江宁区
