title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python,南京,python,大专,经验不限,"[""Python"", ""\u4eba\u5de5\u667a\u80fd"", ""\u673a\u5668\u4eba"", ""\u667a\u80fd\u9a7e\u9a76""]","[7000, 8000]",13薪,"""\u5305\u5403\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5168\u52e4\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5458\u5de5\u65c5\u6e38""",总经理,徐飞总经理,0,福尔摩斯智能科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160912/b3227de04e7870c169e1f4b27d2174f7602d51d55240f7f1b3fa146ff8787dc9.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/1d06cf1acd20bf010XF-0t-1E1c~.html?lid=2mdLI982AbM.search.1&securityId=oRR3QDWslAgkj-01HxUNSdmjhA3nZ65O0lUKvRMw0N-I2mvM2l7g8XWgCPZSzcAsa3eosL3wzpfjHyFsXvrC2loswMp-uiv-NX_dw1VU2uVkxiDtRWb9-z73W044EtpPb5PKtyzT&sessionId=,https://www.zhipin.com/gongsi/3b5e886ba60d6c671HJy2tq0.html,江宁区
python开发实习生,南京,python,本科,经验不限,"[""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[5000, 8000]",13薪,"""\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u5047\u65e5\u52a0\u73ed\u8d39\uff0c\u5e74\u7ec8\u5956""",总经理,毕纪军总经理,0,紫藤优格,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/afcacdb93c96fa121XB409i4E1JW.html?lid=2mdLI982AbM.search.2&securityId=g59XWrwaPnOvd-_1zLAhbnPpMWfKNBO6ZZ1siYDn04bs1Bm6XNyPIqn8i2zDNxTgSibAVHXuSfyKKcWxvffYmiax8VfV12p1KUXR9FAy5nVNrSb_YGLu-5PfxJfZgthz5j9KRoQRPBIvKA~~&sessionId=,https://www.zhipin.com/gongsi/b48764614188cdf51XZ_3dS8FlA~.html,建邺区
Python 后端工程师,昆明,python,本科,在校/应届,"[""Go"", ""Linux"", ""GIT"", ""pythob""]","[8000, 13000]",13薪,"""\u4ea4\u901a\u8865\u52a9\uff0c\u8282\u65e5\u798f\u5229\uff0c\u9910\u8865\uff0c\u56e2\u5efa\u805a\u9910\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u4f4f\u623f\u8865\u8d34\uff0c\u80a1\u7968\u671f\u6743\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5e74\u7ec8\u5956\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u4e94\u9669\u4e00\u91d1""",Cloud 项目主管,陶德坤Cloud 项目主管,0,EMQ,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20210630/479c5a7118f3f137d69a0bf838eaf5afbf8f766a2ee9db3670d977f176d8cd53.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,B轮,"[100, 499]",https://www.zhipin.com/job_detail/8de90d0bcb5f319a1nF_2d-8FltX.html?lid=2mdLI982AbM.search.3&securityId=MglzJX64e3pqg-x1yEI5Qd38D5GEoVHfZ5IHHj2KXe0FWMLSciKdTi-XF7JUhqFhOD8YhGtjVJq8ZK8q0D-a3tbEKLthUvsnhDQERmq3LrjXMHblz70NdAUK2afKe66XLtL82KNjNWJ8bw~~&sessionId=,https://www.zhipin.com/gongsi/c1035411b489e7281nd-2d24EFs~.html,五华区
Python 兼职,哈尔滨,python,本科,经验不限,"[""\u540e\u7aef"", ""\u722c\u866b"", ""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""Python"", ""Java"", ""Django"", """", """", """"]","[5000, 10000]",0薪,"""\u5e74\u7ec8\u5956\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u80a1\u7968\u671f\u6743""",校长,于先生校长,0,海默教育科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210218/c0c33ce4fc70fc2ee6db54ecb22465ac3bda9e29e40e0bdaedb23bbc2268c0bb_s.jpg?x-oss-process=image/resize,w_100,limit_0",培训机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/a43b3fe550d1fbdd1XN-3tq5GVZY.html?lid=2mdLI982AbM.search.4&securityId=gy7uNMljufdkR-c1OfZFzMnY9ZEOoo3w5wq9Bf61zKCVboprKiB1Ehj5llo6oFfoO5pyDm_txo11IDqhfMhuOTr-euN56Ug8Y948IJW082NObWOrzJVYiIjcjTptvRsbMqj4UkRgBAvP&sessionId=,https://www.zhipin.com/gongsi/b65b8a9f32461dca1nd709m5E1I~.html,南岗区
Python,乌鲁木齐,python,本科,经验不限,"[""\u521d\u7ea7\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""\u8f6f\u4ef6\u5de5\u7a0b\u5e08"", ""PostgreSQL"", ""Python"", ""c"", """"]","[5000, 8000]",0薪,"""\u5e74\u7ec8\u5956\uff0c\u8282\u65e5\u798f\u5229\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u5168\u52e4\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u9910\u8865\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u80a1\u7968\u671f\u6743\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u901a\u8baf\u8865\u8d34""",校长,李浩冉校长,0,乐博趣机器人,"https://img.bosszhipin.com/beijin/upload/com/logo/20190903/ac853118d2bd9dbd614dbe0c0751d97251a4d3812fe6902c588b69de5d7ce86c.png?x-oss-process=image/resize,w_100,limit_0",培训机构,未融资,"[0, 20]",https://www.zhipin.com/job_detail/1302d96458fa05301XZ82dy8EFVZ.html?lid=2mdLI982AbM.search.5&securityId=ztQgkcAm37EKl-O1CAzTJJttIqY2m7tCtMSt1kRlGj5ofuS9W4x3gmI28h1o3vfTytujjV0rIPE5ttm_Vv-cnIXlnnawZQdPH5Pd7Z1E2MnR3zBQyXf-HzuA1xnicwmq5jVYnQAZIaNnUK-c-11BadHgI3GSpOwQIlrS8bqY8_6Rr8s~&sessionId=,https://www.zhipin.com/gongsi/24aa90183f64ff741H1z3d29FQ~~.html,
python 初级工程师（可接受实习生）,深圳,python,本科,经验不限,"[""Python""]","[6000, 11000]",0薪,"""\u8282\u65e5\u798f\u5229\uff0c\u7ee9\u6548\u5956\u91d1\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5168\u52e4\u5956\uff0c\u5e74\u7ec8\u5956\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5e26\u85aa\u5e74\u5047""",人事HR,许女士人事HR,0,谷尚,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",移动互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/21c46c0e8c68b0ae1XF83t25EltT.html?lid=2mdLI982AbM.search.6&securityId=wEVP5x2WUG7J1-i1vvcLgna3nbRcHvr4SttL-nJwGcFBAt_hoENoM2EJiVeKm2Q-tt-aPEfqHOnMb_fWksbsEqBa3sKzne5TGByRrvSzII8ZxaEpBsE1e15URGpoI_9J2ULDk38xi8G6&sessionId=,https://www.zhipin.com/gongsi/bd7647b0686d997b1nZy0960GFI~.html,龙华区
Python开发工程师（绘图方向）,南京,python,本科,经验不限,"[""Python"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a""]","[5000, 7000]",13薪,"""\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u4e94\u9669\u4e00\u91d1""",CEO,吴先生CEO,0,里丰科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电力/热力/燃气/水利,未融资,"[20, 99]",https://www.zhipin.com/job_detail/ee4d7acc1c45f4791XN80t66GFFQ.html?lid=2mdLI982AbM.search.7&securityId=fnJaLYVG_vX4y-D1vgUl1IDmRiU57VAwgLjJmJb2AqgOt6ap3BA1VHXPbRQMf985iULnSS47Zo4bf4XvJMG9bfytEAM6eph1kxK15VA9kHbE0RgR6F7puKlEua2HJ3nJI-TYOKguf3hxAQ~~&sessionId=,https://www.zhipin.com/gongsi/567f1ccbcf02ea6a1XV62d21FVQ~.html,江宁区
编程 c++ python,深圳,python,本科,在校/应届,"[""C++"", ""Java"", ""Python""]","[8000, 12000]",0薪,"""\u5e74\u7ec8\u5956\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5168\u52e4\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5e26\u85aa\u5e74\u5047""",老师,余女士老师,0,网企科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20190517/7b2a6f03f1f448eac56600420d4fad3253efe99c16328e694c72719415d86e1f.png?x-oss-process=image/resize,w_100,limit_0",培训机构,C轮,"[100, 499]",https://www.zhipin.com/job_detail/ca173fe14ba361981nZz2di-GFFX.html?lid=2mdLI982AbM.search.8&securityId=FS7UZdyclHFgC-R1_mypt6gToRj9sptdJtwlZ6uSRZdX0UP2k9Ph8pUqeRfOhIW6RjirFphmTNWEI8zBz8vqG33JN46xZNhlzd7HqdqtPCmyva8SzWxTlL0gbNS-NIJHj3OO0kLjM6U~&sessionId=,https://www.zhipin.com/gongsi/6cf359dab73e5df31HV52Nm7Ew~~.html,南山区
Python,廊坊,python,大专,经验不限,"[""Python"", ""Javascript"", ""Java""]","[3000, 6000]",0薪,"""\u4e94\u9669\u4e00\u91d1\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u52a0\u73ed\u8865\u52a9""",hr,梁先生hr,0,锦廷科技,"https://img.bosszhipin.com/beijin/upload/com/logo/20210226/0807972fe173682de6f0a0228022a1252223cc54ad5aaaf7e4aba5c60e02d2e8.png?x-oss-process=image/resize,w_100,limit_0",在线教育,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/7c585441aa9742dd03d92ti0F1o~.html?lid=2mdLI982AbM.search.9&securityId=hWgFOqQyO5S4B-P1ET_r2suGYZwAh_VrGH99BKoj6IBzDZaCfcMLODpj8IfvEvuaYhwwVWdqbBTIPG8f3kzvtfpCQjTWFzSmxxYqgewKZrjIQ_EWcJeNYgwdaQw68bwC0eT5RHy5uQ~~&sessionId=,https://www.zhipin.com/gongsi/07eff2612446f4701nd52NS_EQ~~.html,固安县
Python,银川,python,本科,经验不限,"[""Java"", ""\u540e\u7aef"", ""\u6570\u636e\u7ed3\u6784"", ""SQL"", ""\u722c\u866b"", ""\u722c\u866b\u7ecf\u9a8c"", ""Shell"", """", """", """", """", """", """", """", """", """", """"]","[5000, 6000]",0薪,无,技术总监,李先生技术总监,0,云间来客网络科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/16dbfaf978cc91b11Xd509m_GVVT.html?lid=2mdLI982AbM.search.10&securityId=AbndFwys1oUcV-R1dbZR_frn2S3gQ7E9VRZkbjrkKOGdGFVuM11FQktr-YosEMEenlNOVyYkLASbewsypE3aiBkdYxe4zUXirwiB-II-nUHn2OnuhPAdfFtmqd4G9Bjr1TJjsZYCRhA9gg~~&sessionId=,https://www.zhipin.com/gongsi/0c988f7e4cb8fa3d1XV93tq5EVs~.html,金凤区
